title;author;content
"Penyelam Basarnas Akan Tetap Bantu KNKT Cari ""Black Box"" Lion Air JT 610";Ardito Ramadhan;"JAKARTA, KOMPAS.com  - Badan SAR Nasional (  Basarnas ) memastikan akan tetap membantu mencari    black box  atau kotak hitam berisi  cockpit voice recorder  (CVR) milik   Lion Air  PK-LQP nomor penerbangan JT 610.Kepala Basarnas Marsekal Madya M Syaugi mengatakan, penyelam Basarnas siap ditugaskan mencari  black box  di lokasi jatuhnya pesawat di Tanjung Karawang, Jawa Barat.""Jangankan tiga hari, mulai besok itu, mulai hari ini   KNKT  sudah minta bantuan penyelam, ya kami ikuti. Kita ini kan negara, saling koordinasi,"" kata Syaugi di Dermaga JICT 2 Pelabuhan Tanjung Priok, Jakarta Utara, Rabu (11/7/2018).Baca juga:  Duka Keluarga Korban Lion Air, Pesan untuk Anak Sulung hingga Tangis Saat Tabur BungaPenyelam Basarnas akan tetap dikerahkan karena KNKT sebagai instansi yang bertugas mencari  black box  tidak memiliki penyelam.Syaugi menuturkan, Basarnas sebetulnya hanya fokus pencarian korban. Namun, Basarnas juga ikut mencari  black box  karena masih berada di satu lokasi pencarian.""Kenapa kami ikut di situ, sering saya sampaikan, karena kami sudah di situ, kapal sudah dijangkar, penyelam sudah di situ semua, masa enggak kami angkat sekalian,"" ujar dia.Baca juga:  Wali Kota Depok Ikut Shalatkan Ibnu, Korban Pesawat Lion Air JT 610Diberitakan sebelumnya, Basarnas melanjutkan proses pencarian korba selama tiga hari ke depan. Namun, pencarian itu hanya akan dilakukan personel Basarnas.Hingga Rabu pagi, tim SAR gabungan telah memperolah 186 kantong jenazah berisi bagian tubuh korban. Sementara, 44 korban telah berhasil diidentifikasi.Pesawat   Lion Air JT 610  rute Jakarta-Pangkal Pinang jatuh di Tanjung Karawang, Jawa Barat, Senin (29/10/2018) pagi.Baca juga:  Evakuasi Korban Lion Air Diperpanjang, SAR Tetap Sisir Perairan dan Pantai TanjungpakisPesawat itu mengangkut 181 penumpang dan 8 awak. Semua penumpang dan awak diduga tewas dalam kecelakaan itu."
Harga Motor Listrik Gesits Karya Anak Bangsa Rp 22 Juta-Rp 23 Juta;Ihsanuddin;"JAKARTA, KOMPAS.com —  Motor listrik Gesits yang merupakan karya anak bangsa akan dilepas ke pasaran di kisaran harga Rp 22 juta-Rp 23 juta.Hal ini diungkapkan Direktur PT Garasindo Teknologi Indo (GTI) Zaki Nahdi Saleh selaku salah satu pihak yang mengembangkan dan memproduksi Gesits.""Kalau dari kita, dari industrinya, kurang lebih Rp 20 juta, harga pasar kurang lebih Rp 22 juta-Rp 23 juta,"" kata Zaki usai beraudiensi dengan Presiden Joko Widodo di Istana Kepresidenan, Jakarta, Rabu (7/11/2018).Baca juga:  Jajal Motor Listrik Gesits di Istana, Jokowi Bingung Tak Ada Suara KnalpotZaki mengatakan, harga Rp 22 juta-Rp 23 juta itu dipatok tak hanya berdasarkan ongkos produksi, namun juga dengan melihat harga motor konvensional (nonlistrik) yang sekelas dengan Gesits.Gesits, skutik bertenaga listrik dengan daya motor 5KW yang dapat menempuh jarak sejauh 80–100 kilometer dalam daya baterai penuh, berkecepatan maksimal 100 km per jam.Spesifikasi ini setara dengan motor skuter bermesin konvensional 125cc.""Kita mengharap bahwa harga pasar bisa di bawah kompetitor yang sekelas motor konvensional. Kita kan motor listrik pertama,"" kata Zaki.Baca juga:  Motor Listrik Gesits Diproduksi Massal, Jokowi Bakal Beli 100 UnitMeski sejauh ini belum diproduksi secara massal, Zaki mengklaim bahwa produk Gesits sudah mendapat sambutan antusias dari masyarakat Indonesia.Sudah banyak yang memesan motor hasil kolaborasi PT Garasindo dan Institut Teknologi Sepuluh November (ITS) itu.""Kalau dari sisi pasar kita sudah ada preorder. Sampai 30.000 unit. Ini belum publish harga kan,"" kata dia.Presiden Jokowi yang pada pagi tadi mencoba motor Gesits ini juga berjanji akan memesan 100 unit. Produksi massal ditargetkan bisa dimulai pada Januari 2019."
Evakuasi Korban Lion Air Diperpanjang, SAR Tetap Sisir Perairan dan Pantai Tanjungpakis;Kontributor Karawang, Farida Farhan;"KARAWANG, KOMPAS.com  - Pada hari kesebelas   evakuasi    korban  dan pesawat   Lion Air  PK-LQP, Kamis (8/11/2018), petugas dari Kantor   SAR  Bandung akan tetap melakukan penyisiran di   perairan  dan daratan   Pantai    Tanjungpakis , Karawang, Jawa Barat.Kepala Kantor SAR Bandung Deden Ridwansyah mengungkapkan, sesuai arahan Kepala Basarnas Marsekal M Sayugi, pencarian oleh Tim Basarnas diperpanjang selama tiga hari.Oleh karena itu, pihaknya tetap bersiaga di Posko Tanjungpakis.Baca juga:  Hari Ke-10 Pencarian, Kopaska Fokus Evakuasi Jenazah Korban Lion Air""Polanya sama untuk terus melakukan pencarian, baik itu penyisiran dengan perahu karet maupun oleh tim darat,"" ujar Deden, di Posko Tanjungpakis, Rabu (7/11/2018).Hanya saja, lanjut dia, pihaknya masih menunggu hasil perencanaan dan pemetaan yang akan dilakukan Basarnas pusat.""Kami di sini hanya menjaga ada kemungkinan-kemungkinan korban yang belum ditemukan akan mengarah ke pesisir Pantai Tanjungpakis, Karawang ini,"" kata dia.Baca juga:  Basarnas Lanjutkan Pencarian Korban Lion Air JT 610Meski hanya menyisakan tim dari SAR, Deden mengklaim, pencarian korban akan tetap maksimal. Terlebih, jumlah personel SAR yang dilibatkan tidak dikurangi.""Tetapi, dari posko Tanjungpakis ini, saya yakin dari pemerintah daerah, terutama BPBD dan potensi SAR yang ada, masih tetap akan bersama-sama kami di sini (membantu),"" kata dia."
UE Panggil Dubes Tanzania Terkait Perburuan Kaum Gay;Ardi Priyatno Utomo;"BRUSSELS, KOMPAS.com  -   Uni Eropa  (UE) dilaporkan bakal memanggil Duta Besar   Tanzania  terkait dugaan ""kemerosotan HAM dan hukum"".Sebabnya seperti dilansir  The Independent  Selasa (6/11/2018), laporan itu muncul setelah pemerintah regional Tanzania mengumumkan perburuan kaum   gay.Pekan lalu, Gubernur Dar Es Salaam Paul Makonda pekan lalu mengumumkan telah mendirikan komite khusus untuk memenjarakan massal komunitas gay.Baca juga:  Pemerintah Tanzania Canangkan Perburuan Kaum GayKomite beranggotakan 17 orang dari berbagai unsur seperti polisi, pengacara, hingga dokter itu dibentuk untuk mengidentifikasi homoseksual.Komite tersebut bakal menyisir internet untuk mengenali video yang disinyalir menunjukkan aktivitas homoseksual, dan memperingatkan untuk menghapus ""gambar seks mereka"".Makonda mengaku kebijakannya mendapat respon 18.000 pesan berisi dukungan dari masyarakat yang resah dengan ""aksi bermoral rendah"" itu.""Sebagian dari mereka menyerahkan nama orang-orang yang mereka anggap sebagai homoseksual,"" ujar sekutu dekat Presiden John Magufuli itu.Kementerian Luar Negeri Tanzania kemudian mengeluarkan keterangan resmi bahwa pandangan maupun kebijakan Makonda bukan representasi pemerintah pusat.Meski begitu, komunitas   LGBT  mengkritis langkah pemerintah yang dianggap lamban maupun tidak memberikan kecaman terhadap aksi Makonda.Salah seorang gay yang tak disebutkan identitasnya itu berujar, dia mempertanyakan pemerintah pusat ketika masyarakat Dar Es Salaam berbondong-bondong menyerahkan nama yang diduga gay.""Kami terpaksa menyembunyikan diri, dan hidup dalam ketakutan jika pemerintah regional mulai melaksanakan penangkapan,"" tutur pria tersebut.Juru bicara UE Susanne Mbise menuturkan, UE sangat menyesali langkah Makonda karena dianggap telah melanggar hak asasi.Adapun juru bicara kantor HAM PBB Ravina Shamdasani berujar, dia mengapresiasi sikap pemerintah Tanzania yang tidak memerintahkan kebijakan seperti itu.""Namun, harus dipahami bahwa individu maupun komunitas LGBT di Tanzania saat ini masih berada dalam bayang-bayang kekhawatiran,"" terangnya.CNN  melaporkan sesuai peraturan di Tanzania, warga yang kedapatan merupakan homoseksual bakal dipenjara selama 30 tahun.Baca juga:  Tanzania Mulai Perburuan Kaum Gay, Warga Serahkan Ribuan NamaSementara di negara seperti Mauritania, Sudan, Somalia, maupun kawasan utara Nigeria, pelaku LGBT terancam mendapat hukuman mati.Tahun lalu, pemerintah Tanzania memulai operasi penangkapan maupun pengusiran aktivis hak LGBT setelah Magufuli menyebutnya sebagai perilaku amoral.Kementerian Luar Negeri mewanti-wanti para pelancong negara asing bahwa pasangan sesama kelamin dilarang berkunjung ke sana.Sebab, jika mereka berciuman atau berpegangan tangan di tempat publik, maka otoritas setempat bakal langsung menangkap mereka.Baca juga:  Mahathir: Hak LGBT Tak Cocok untuk Malaysia"
OJK: Rupiah Menguat, Artinya Investor Percaya Diri dengan Kondisi Indonesia;Fabian Januarius Kuwado;"JAKARTA, KOMPAS.com  - Investor semakin yakin dan optimistis terhadap instrumen investasi di Indonesia.Hal itu diungkapkan Ketua Dewan Komisioner Otoritas Jasa Keuangan (  OJK ) Wimboh Santoso saat ditanya mengenai penguatan   rupiah  terhadap dollar Amerika Serikat, baru-baru ini.""Artinya investor, terutama portfolio,  confident  terhadap kondisi Indonesia. Indonesia itu saya bilang fundamentalnya kuat dibandingkan negara-negara yang suka disebut, bermasalah, ya bukan bandingannya,"" ujar Wimboh saat dijumpai di Istana Presiden, Jakarta, Rabu (7/11/2018).Wimboh menambahkan, pemerintah tinggal mendorong supaya perbaikan pada instrumen investasi itu semakin diketahui luas di dunia investor.Hal ini akan menunjukkan bahwa fundamental RI memang kuat.""Tinggal sekarang strukturnya kita perkuat, instrumennya kita banyakin,"" ujar Wimboh.""Sekarang kita sudah ada  hedging . Kalau tidak percaya rupiah, bank sentral melakukan  swap,  bikin NDF. Jadi, ini semua kami terus sempurnakan, kami sempurnakan struktur pasar dalam negeri. Jadi ini semua terus kami sempurnakan,"" lanjut dia.Kurs rupiah terus menguat terhadap dolar Amerika Serikat (AS).Pada Rabu, pukul 13:00 WIB, 1 dollar AS ditransaksikan pada Rp 14.670 di pasar spot.   Rupiah  menguat 0,88% dibandingkan penutupan perdagangan pada Selasa (6/11/2018) kemarin."
Wali Kota Depok Ikut Shalatkan Ibnu, Korban Pesawat Lion Air JT 610;Cynthia Lova;"DEPOK, KOMPAS.com  - Wali Kota Depok Mohammad Idris ikut menyalatkan jenazah penumpang   Lion  Air TJ 610, Ibnu Hantoro (33), di Masjid Nurul Iman, Kompleks Pelni, Sukmajaya, Depok, Rabu (7/11/2018).Hadir pula Kepala Badan Pengembangan dan Pemberdayaan Sumber Daya Manusia (PPSDM) Kementerian Kesehatan Usman Sumantri dalam shalat jenazah tersebut.Ibnu dishalatkan sebelum dimakamkan di TPU Pondok Rangon.Sejumlah keluarga, kerabat, dan tetangga korban ikut mendoakan Ibnu di kediamannya yang tak jauh dari Masjid Nurul Iman itu.Idris tampak shalat di barisan paling depan bersama Usman. Ia mengenakan baju koko dan peci.Baca juga:  Basarnas Lanjutkan Pencarian Korban Lion Air JT 610Dalam sambutannya, Idris menyampaikan belasungkawanya kepada keluarga Ibnu.Idris mendoakan agar para korban meninggal dalam kejadian itu diterima di sisi-Nya, kemudian pihak keluarga diberikan keikhlasan dan ketabahan.""Semua yang ada di sini kehilangan, sebab, keluarga dokter Ibnu adalah keluarga Kota Depok terbaik. Syukur dan bahagia karena Ibnu telah pulang dan meninggal dalam penugasannya,” kata Idris.Usman Sumantri juga menyampaikan rasa belasungkawanya kepada keluarga Ibnu Hantoro.“Saya atas nama keluarga Kementerian Kesehatan yang tidak bisa hadir mengucapkan belasungkawa pada keluarga Ibnu Hantoro. Semoga almarhum mendapatkan pahala yang setimpal karena pengabdiannya selama ini,” ucap Usman.Baca juga:  14 Fakta Pencarian Korban dan Pesawat Lion Air JT 610 hingga Hari KesepuluhIa mengatakan, dokter Ibnu adalah salah satu dokter muda spesialis yang melakukan pengabdian ke Bangka Belitung.Ibnu berstatus sebagai dokter Rumah Sakit Dharmais .“Pengabdiannya berakhir di Februari 2019 mendatang dan akan kembali menjadi dokter di RS Dharmais harus, namun beliau menjalankan tugas negaranya melakukan pengabdian. Semoga almarhum diterima di sisi Allah sebaik-baiknya,” ucap Usman."
Tim Basarnas Menyelam Cari Pemuda yang Diduga Hanyut Terseret Arus;Kontributor Pekanbaru, Idon Tanjung;"PEKANBARU , KOMPAS.com  - Tim Basarnas   Pekanbaru  masih berupaya melakukan pencarian pemuda bernama Ulin Muslikin (25), yang diduga hanyut terseret arus   Sungai  Singingi di Desa Kebon Lado, Kecamatan Singingi, Kabupaten Kuantan Singingi (Kuansing), Riau.Hingga Rabu (7/11/2018) siang, korban belum berhasil ditemukan. Sementara, pencarian dilakukan dengan cara menyisir   sungai  menggunakan   perahu karet  dan penyelaman ke dasar sungai.""Dua orang tim  rescue  sudah   menyelam  mencari korban, namun belum ditemukan,"" kata Humas Basarnas Pekanbaru Kukuh Widodo pada  Kompas.com , Rabu (7/11/2018).Baca juga:  Ponton Ekskavator Hanyut di Sungai CiliwungDia mengatakan, selain dilakukan penyelaman, tim juga melanjutkan pencarian hingga 300 meter dari lokasi tenggelamnya korban. Sementara, kondisi arus sungai masih cukup deras sejak beberapa hari terakhir.Tim yang melakukan pencarian terdiri dari Basarnas Pekanbaru, Polres Kuansing, dan dibantu masyarakat setempat.""Kami masih terus berupaya melakukan pencarian. Pencarian kami lakukan sejak kemarin,"" tambah Kukuh.Diberitakan sebelumnya, Ulin Muslikin, seorang pemuda warga Desa Kebon Lado, Kecamatan Singingi, hilang saat berenang di Sungai Singingi, Selasa (6/11/2018).Korban saat itu berenang untuk mengambil perahu ke seberang Desa Kebon Lado. Namun, sesampainya di tengah, korban diduga kelelahan hingga terseret arus sungai.Setelah korban dinyatakan hanyut, petugas dari Polres Kuansing langsung melakukan pencarian. Namun, korban belum ditemukan.Beberapa jam setelah itu, tim Basarnas Pekanbaru tiba di lokasi, bergabung untuk melakukan pencarian."
Perempuan Ini Berjanji Tetap Setia pada Suami yang Sempat Mencoba Membunuhnya;Agni Vidya Perdana;"KENT, KOMPAS.com -  Seorang   perempuan  di   Inggris  nyaris tewas setelah ditikam hingga puluhan kali.Shannon Barnard (21) mendapat 46 luka   tusukan , dengan 14 di antaranya mengenai dada dan 10 di perut. Empat tusukan juga melukai organ dalamnya.Pelaku penusukan itu adalah Michael Barnard (25), yang tak lain adalah suami Shannon.Melansir dari  Metro.co.uk , insiden penyerangan itu terjadi di tempat tinggal mereka di Hextable, Kent, Inggris pada 11 Januari 2018 lalu.Diduga penyerangan itu berkaitan dengan peristiwa yang terjadi sekitar dua pekan sebelumnya, saat Shannon menemukan bahwa suaminya sempat berselingkuh.Beruntung Shannon masih dapat selamat dari luka yang dialaminya meski harus dirawat di rumah sakit selama 17 hari.Baca juga:  Tak Punya Anak Laki-laki, Perempuan Ini Dibunuh KeluarganyaDalam keterangan yang disampaikan kepada polisi, dua pekan setelah diizinkan keluar dari rumah sakit, Shannon menceritakan insiden yang penyerangan yang dialaminya.Pada malam sebelum penyerangan, Shannon mengatakan, dia dan suaminya sempat membahas masalah perselingkuhan Michael. Suaminya berjanji tidak akan mengulangi dan akan menjadi orang yang lebih baik.Namun keesokan harinya, suaminya mendadak menyerangnya saat dia bangun di pagi hari. Suaminya baru berhenti menikam dirinya setelah orangtua dan pamannya datang.Atas tindakannya, Michael dinyatakan bersalah atas percobaan pembunuhan oleh juri pengadilan di Maidstone dan dihukum 20 tahun penjara.Seorang psikiater menyatakan, Michael mengalami gangguan penyesuaian jangka pendek saat insiden penyerangan terjadi.Gangguan mental tersebut menyebabkan kecemasan ekstrim, ketakutan, pikiran emosional dan ledakan agresivitas. Meski demikian, pakar menyebut hal itu tidak mempengaruhi kemampuan Michael dalam merencanakan pembunuhan.Setelah menjalani pengobatan, psikiater menyimpulkan bahwa kecil kemungkinan Michael kembali mengalami gangguan mental yang serupa.Baca juga:  Jatuh dari Ranjang Saat Sedang Bercinta, Perempuan Ini LumpuhDalam persidangan yang digelar pekan lalu, Shannon mengaku telah memaafkan Michael atas perbuatannya dan bakal   setia  menanti hingga suaminya itu keluar dari penjara.""Kami hanya ingin bersama dan memiliki kehidupan yang kami berdua inginkan satu sama lain, serta memiliki sebuah keluarga,"" kata Shannon saat ditanya pengadilan tentang rencana masa depannya dengan Michael.Ketika ditanya apakah dia dapat memaafkan suaminya Shannon menjawab singkat ""Tentu saja."""
Ingin Menang Tanpa Sengketa, Sandiaga Tak Siapkan Pengacara di Pilpres;Jessi Carina;"JAKARTA, KOMPAS.com  - Calon wakil presiden nomor urut 02,   Sandiaga  Uno, mengatakan pihaknya tidak akan menunjuk   pengacara  khusus dalam Pemilihan Presiden 2019.Sebab, dia ingin Pilpres ini dimenangkan tanpa ada sengketa.Hal ini dia sampaikan ketika ditanya tanggapannya tentang   Yusril Ihza Mahendra  yang menjadi pengacara calon presiden dan wakil presiden nomor 1, Joko Widodo-Ma'ruf Amin.""Tentunya kita hormati pilihan Pak Yusril. Kami sendiri tidak menunjuk pengacara khusus karena kami mengantisipasi bahwa Pilpres ini akan dimenangkan tanpa sengketa,"" ujar Sandiaga di kawasan Lebak Bulus, Rabu (7/11/2018).Sandiaga berharap siapapun yang menang dalam Pilpres nanti, pihak yang kalah tidak akan melakukan gugatan. Namun seandainya terjadi sengketa hasil pemilu, Sandiaga mengatakan Badan Pemenangan Nasional Prabowo-Sandiaga akan fokus kepada tim hukum yang sudah ada.Menurut Sandiaga, menyiapkan pengacara khusus untuk Pilpres seolah bersiap-siap perang.Baca juga:  Yusril Jadi Pengacara Jokowi, Sandiaga Klaim Didukung Kader Akar Rumput PBB""Kalau Allah memenangkan ini kepada Prabowo-Sandiaga, tidak akan berujung pada sengketa. Jadi kita tidak menjaga-jaga atau siap-siap perang gitu, kita enggak. Kita cukup yakin bahwa kemenangan itu tanpa sengketa,"" ujar Sandiaga.Sebelumnya, pengacara Yusril Ihza Mahendra bersedia menerima tawaran menjadi kuasa hukum pasangan calon presiden dan wakil presiden nomor urut 01 Joko Widodo-Ma'ruf Amin.Yusril mengatakan, ia bersedia menjadi pengacara Jokowi-Ma'ruf atas tawaran Erick Thohir, yang merupakan Ketua Tim Kampanye Nasional Jokowi-Ma'ruf."
Kerap Dibongkar Pemotor, Trotoar di Depan TPU Menteng Pulo Akan Dipagar Besi;Kontributor Jakarta, David Oliver Purba;"JAKARTA, KOMPAS.com -  Petugas Penanganan Prasarana dan Sarana Umum (PPSU) dan Satpol PP Kelurahan Menteng Atas, Jakarta Selatan, Rabu (7/11/2018), merapikan beton pembatas di   trotoar  di depan Tempat Pemakaman Umum (TPU) Menteng Pulo yang sebelumnya dibongkar sejumlah pengendara sepeda motor.Di lokasi terlihat tiga petugas PPSU dibantu seorang petugas Satpol PP berusaha menggeser beton pembatas yang berserakan karena ulah pengendara sepeda motor.Kasie Pemerintahan yang merangkap Kasie Prasarana dan Sarana Kelurahan Menteng Atas Ahmad Iqbal mengatakan, pembongkaran kerap dilakukan pengendara sepeda motor yang ingin melewati trotoar.Baca juga:  Penerobos Trotoar Bisa Dipenjara atau Didenda hingga Rp 20 JutaPihaknya berencana akan memasang pagar besi demi mencegah pemotor. Pagar tersebut hanya bisa dilewati pejalan kaki.""Kalau bisa ya dibuat pagar pakai besi. Tapi ada  space  untuk pejalan kaki nanti. Artinya dibuat permanen. Kalau petugas mantau susah,"" kata Iqbal di lokasi.Sebelumnya, sejumlah pengendara motor membongkar paksa beton pembatas di trotoar depan Tempat Pemakaman Umum (TPU) Menteng Pulo, Jakarta Selatan itu. Hal tersebut terlihat dalam video yang tersebar di media sosial.Baca juga:  Pengendara Motor Bahu-membahu Pindahkan Beton agar Bisa Lewat TrotoarDalam video tersebut, empat pengendara, salah satunya mengenakan atribut ojek  online , berusaha menggeser beton pembatas agar bisa melewati trotoar. Sementara belasan pemotor lainnya tampak menunggu.Warga sekitar menyebutkan, aksi pembongkaran seperti itu kerap dilakukan para pengendara pada pagi dan sore saat arus lalu lintas di Jalan Casablanca padat."
