title;author;content
Begini Pengaturan Lalu Lintas Saat Demo di Patung Kuda Hari Ini;Sherly Puspita;"JAKARTA, KOMPAS.com  - Kasubdit Ditlantas Polda Metro Jaya AKBP Budiyanto mengatakan, pihaknya telah menyiapkan pengalihan   lalu lintas  saat aksi unjuk rasa kasus pembakaran bendera berlangsung di kawasan Patung Kuda hari ini, Jumat (26/10/2018).""Pengaturan lalu lintas disiapkan. Namun sifatnya situasional,"" ujar Budiyanto, Jumat.Berikut ini pengaturan lalu lintas yang telah disiapkan pihak kepolisian:1. Jika terjadi kepadatan di Jalan Merdeka Barat, arus lalu lintas dari Bundaran HI dibelokkan ke kiri ke arah Jalan Budi Kemuliaan menuju Jalan Abdul Muis, Jalan Majapahit, Jalan Harmoni, dan seterusnya.2. Arus lalu lintas dari Jalan Hayam Wuruk dibelokkan ke kiri ke arah jalan menuju Jalan Juanda, ke Jalan Pasar Baru, ke Jalan Gunung Sahari atau ke arah Lapangan Banteng, menuju Jalan Pejambon, ke Jalan Merdeka Timur, Tugu Tani, dan seterusnya.Baca juga:  Ada Demo, Penumpang KA Jarak Jauh Bisa Naik dari Jatinegara3. Arus lalu lintas dari Tugu Tani diarahkan ke arah Jalan Merdeka Selatan, kemudian belok ke kiri ke Jalan Thamrin atau lurus ke arah Jalan Budi Kemuliaan dan seterusnya.4. Arus dari Jalan Merdeka Timur dibelokkan ke kanan ke arah Jalan Perwira menuju Lapangan Banteng dan seterusnya.5. Arus lalu lintas dar i traffic light  Bina Graha arah Jalan Merdeka Utara tepatnya di  traffict light  MA dibelokkan ke kiri ke arah Jalan Merdeka Timur, Jalan Perwira, dan seterusnya.Sebelumnya, Kabid Humas Polda Metro Jaya Kombes Argo Yuwono mengatakan, sebanyak 1.000 peserta akan turut dalam aksi yang rencananya dimulai pada pukul 13.00 WIB ini.Baca juga:  Ada Bubaran Demo Buruh di Kemenaker Pukul 16.00, Lalu Lintas TersendatSebanyak 7.633 personel kepolisian disiagakan untuk mengamankan aksi ini.Argo mengatakan, aksi ini akan digelar di depan Gedung Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan (Menkopolhukam) Republik Indonesia dengan titik kumpul di kawasan Patung Kuda, Jakarta Pusat."
 Polisi Tangkap Remaja yang Sodomi Tetangganya 2 Kali ;Kontributor Lhokseumawe, Masriadi ;ACEH UTARA, KOMPAS.com  – Polisi menangkap remaja berinisial S (16) warga Kecamatan Tanah Luas, Kabupaten Aceh Utara, Jumat (26/10/2018).Pasalnya, pria itu menyodomi anak tetangganya sendiri, T (8), sebanyak dua kali selama dua tahun terakhir.Kasat Reskrim Polres Aceh Utara Iptu Rezki Kholiddiansyah menyebutkan, kejahatan   asusila  itu pertama terjadi November 2017 dan terakhir 14 November 2018 lalu. Aksi terakhir, bahkan dilakukan di samping abang korban yang sedang tidur.Baca juga:  Kabar Dunia Sepekan: Trump hingga Anwar Ibrahim Dituduh Sodomi“Aksi ini dilihat oleh ibu korban, sehingga segera dilaporkan ke polisi. Aksi pertama dilakukan di ruang tamu korban,” katanya.Menurut pengakuan korban, tindakan itu dilakukan pelaku dengan cara membujuk korban diberikan kelereng secara gratis. Bahkan pelaku meminta agar korban tidak menceritakan perbuatannya pada ibunya.“Pelaku dengan pasal 81 (2) jo pasal 82 (1) Undang-Undang Nomor 35 Tahun 2014 tentang Perubahan Undang-Undang Nomor 35 Tahun 2014 tentang Perubahan atas Undang-Undang Nomor 23 Tahun 2002 tentang Perlindungan Anak, jo Undang-Undang Nomor 11 tahun 2012 tentang sistem peradilan anak,” pungkas Iptu Rezki.
Pengusaha Singapura Bantah Berdagang dengan Korea Utara;Ervan Hardoko;"SINGAPURA , KOMPAS.com  - Seorang pengusaha   Singapura  yang dicari   FBI  karena dituduh membantu   Korea Utara  menghindari sanksi Amerika Serikat, membantah semua tuduhan itu.Kepada  BBC , Tan Wee Beng mengatakan, dia mengetahui menjadi tertuduh perbuatan kriminal dari pemberitaan media massa.""Tak ada yang menghubungi saya. FBI tidak menghubungi saya, begitu pula kepolisian Singapura,"" ujar Tan.Baca juga:  Jual Barang Mewah dan Bermerek ke Korea Utara, Dua Pria Diadili di SingapuraJaksa Federal AS Geoffrey Barman, Kamis (25/10/2018) mengatakan Tan wee Beng adalah buronan aparat keamanan Amerika Serikat.Sedagkan Asisten Direktur FBI William Sweeney mengatakan, pengusaha Singapura itu melakukan transaksi ilegal bernilai jutaan dolar.""Transaksi ini dilakukan untuk membantu Korea Utara melawan sanksi ekonomi yang sudah diterapkan terhadap negeri itu dan entitas negara tersebut,"" ujar Sweeney.Kementerian Keuangan AS kini menjatuhkan sanksi terhadap Tan dan dua perusahaan yang terkait dengan dirinya yaitu Wee Tiong Pte Ltd dn WT Marine Pte Ltd.""Tan adalah pebisnis yang selama beberapa tahun memiliki kontrak jutaan dolar AS untuk Korea Utara,"" demikian Kemenkeu AS.Surat penahanan terhadap Tan terbit pada 29 Agustus tetapi baru diumumkan Kementerian Kehakiman AS pada Kamis.Tan didakwa melakukan konspirasi untuk melawan sanksi AS, penipuan bank, dan pencucian uang.""Saya baru mengetahuinya hari ini dan saya sangat terkejut,"" ujar pria 41 tahun itu kepada  BBC  lewat telepon pada Jumat (26/10/2018) pagi.""Kami adalah perusahaan dagang internasional dan bukan pencuci uang,"" ujar Tan sambil menambahkan dia sudah menunjuk kuasa hukum.Baca juga:  Korea Utara Disebut Impor Barang Mewah Senilai Rp 9 Triliun dari ChinaTan juga mempermasalahkan klaim FBI yang menyebut dirinya menjadi buronan, karena selama ini dia berada di Singapura.AS dan Singapura memiliki perjanjian ekstradisi tetapi hanya mencakup masalah tertentu dan tidak termasuk kasus pencucian uang."
Gelapkan Uang Kompensasi Galian C, Kades Ditangkap Polisi;Kontributor Pekalongan, Ari Himawan Sarono;"PEKALONGAN , KOMPAS.com  - Aparat Kepolisian menangkap Subari (54), Kepala Desa Wangandawa, Bojong, Kabupaten   Pekalongan , Jawa Tengah karena dilaporkan menggelapkan uang Rp 521.028.190 yang seharus menjadi kas desa. Uang itu berasal dari kompensasi   Galian C  untuk urug pembangunan jalan tol.Dana tersebut merupakan penerimaan sah kas desa berupa sewa jalan, pembayaran tanah jalan desa, serta kompensasi Galian C dari PT SMJ.Kapolres Pekalongan AKBP Wawan Kurniawan mengatakan, penerimaan uang tidak dimasukkan dalam APBDes oleh Subari.Baca juga:  Beberapa Bulan Buron, Terpidana Penggelapan Uang DitangkapSelain itu, pengelolaan keuangan desa juga tidak berdasarkan Permendagri No 113 Tahun 2014 pasal 1 (4) serta Peraturan Bupati Pekalongan No 5 Tahun 2015 jo No 66 Tahun 2017 tentang Pengelolaan Keuangan Desa.""Ini kasus dimulai sejak tahun 2016 hingga tahun 2017. Modus operandi adanya penerimaan uang yang pengelolaannya tidak sesuai aturan,"" kata Wawan, Kamis (25/10/2018).Di hadapan polisi, tersangka Subari mengakui memang tidak semuanya disetorkan ke rekening kas desa dan kegiatan desa.Dari total pendapatan pemasukan desa sebesar Rp 684.748.690 tersebut, dimasukkan ke rekening desa Rp 42.827.500 dan sebagian digunakan untuk kepentingan desa Rp 120.793.000.""Saya lupa Pak, uangnya dikemanakan saja sampai Rp 500 juta itu,"" aku Subari.Subari akan dijerat pelanggaran Pasal 2 atau 3 atau Pasal 8 UU RI No 31 Tahun 1999 sebagaimana telah diubah dan ditambah dengan UU RI No 20 Tahun 2001 tentang pemberantasan tindak pidana korupsi.""Dari perbuatannya, tersangka terancam dengan hukuman 20 tahun penjara,"" lanjut Kapolres."
Menhan Turki: Pembelian S-400 adalah Keharusan, bukan Pilihan;Ardi Priyatno Utomo;"ANKARA, KOMPAS.com  - Menteri Pertahanan   Turki  Hulusi Akar menargetkan sistem rudal   S-400  dari Rusia bakal dipasang pada Oktober 2019.Turki menandatangani kesepakatan pembelian sistem pertahanan anti-serangan udara S-400 dengan nominal 2.5 miliar dollar   AS , sekitar Rp 38 triliun.Dilansir  Hurriyet  Kamis (25/10/2018), Akar menuturkan sesuai dengan kontrak pembelian, proses pemasangan sistem buatan Fakel itu bakal dilaksanakan.Baca juga:  AS Tak Bakal Sanksi India karena Beli Rudal S-400 Rusia, Ini SyaratnyaSaat ini, Turki sedang fokus memilih tentara yang bakal menjadi operator S-400. ""Mereka bakal berangkat ke Rusia untuk menerima pelatihan,"" ujar Akar kepada  Anadolu.Pembelian sistem rudal yang mulai beroperasi sejak 28 April 2007 itu mendapat reaksi kontra dari AS karena Turki merupakan anggota   NATO.AS bersikeras S-400 tak cocok dengan gaya pertahanan NATO, dan mengancam bakal memberi sanksi jika Ankara tetap membelinya.Akar menjelaskan, Turki sebelumnya telah mendekati AS untuk membeli sistem pertahanan Patriot. Karena gagal, mereka beralih ke Rusia.Mantan Kepala Staf Jenderal Angkatan Darat Turki itu menyebut studi terkait S-400 telah dilakukan, dan hasilnya tak menyalahi Komando Angkatan Udara.Jenderal dengan julukan Seri Pasa itu menuturkan klaim yang diutarakan AS maupun NATO berlebihan, dan dia menegaskan Turki punya hak untuk membeli senjata dari siapapun.""Pembelian S-400 bukan merupakan pilihan. Namun keharusan. Saya yakin sistem tersebut tak bakal mengganggu kinerja Turki dengan NATO,"" tuturnya.Lebih lanjut, jenderal berusia 66 tahun itu juga berkomentar soal kontribusi Turki dalam proses produksi jet tempur generasi kelima F-35.Akar berujar, Presiden AS Donald Trump telah meminta Pentagon untuk memberikan laporan terkait kontribusi Turki dalam waktu 90 hari.Berdasarkan estimasinya, tenggat waktu laporan itu dimulai 13 Agustus, dengan Menteri Pertahanan AS James Mattis bakal menyerahkannya di 1 3 November.""Dua F-35 telah dikirimkan kepada kami Juni. Empat pilot kami sudah berangkat untuk menerima pelatihan. Sementara 50 perwira non-komisioner juga berangkat sebagai tim pemelihara,"" terangnya.F-35 menjadi sorotan setelah Kongres AS mengesahkan larangan untuk menjual jet tempur siluman tersebut buntut pembelian F-35.Namun Pentagon menegaskan tetap bakal meneruskan proses pengiriman. Dua unit F-35 lain diperkirakan bakal datang Maret 2019.Baca juga:  NATO: Pembelian S-400 dari Rusia adalah Keputusan Turki sebagai Negara"
"Kisah Tragedi Jessica Mananohas, Ampuni Sang Ibu hingga Lagu ""Di Doa Ibuku""";Michael Hangga Wismabrata;"KOMPAS.com  - Perjuangan   Jessica Mananohas  (10) telah usai. Sebelum meninggal, doa dan maaf bagi sang ibu telah terucap oleh Jessica, warga Sangihe, Sulawesi Utara.Jessica meninggal dunia setelah Olga Semet (OS) menyiram tubuh Jessica dengan minyak tanah dan menyulutnya dengan api.Sebelumnya, OS sempat memukul dan membenturkan kepala Jessica ke pintu rumah karena tidak menjawab saat ditanya tentang pisau dapur miliknya hilang.Berikut ini secara lengkap tragedi yang menimpa Jessica.Setelah mendapat perawatan selama kurang lebih 41 hari di rumah sakit, Jessica akhirnya menghembuskan nafas terakhirnya pada jari Selasa (23/10/2018).Siswi SD di Desa Pintareng, Kecamatan Tabukan Selatan Tenggara, Kabupaten Kepulauan Sangihe, Sulawesi Utara, menjadi korban kekerasan ibu kandunganya sendiri, OS.""Laporan yang saya terima memang meninggal pada pukul 14.08 Wita,"" kata Direktur RSUP Kandou Malalayang, dr. Jimmy Panelewen.Jessica mengalami luka bakar hingga 85 persen dan sempat dirawat di RS Liungkendage, Tahuna, sebelum akhirnya dirujuk ke RSUP Kandou   Manado  pada awal pekan lalu.Kondisi kesehatan Jessica sempat membaik, namun kondisinya terus menurun dalam sepekan terakhir.Kasat Reskrim Polres Sangihe Iptu Denny Tampenawas mengatakan, polisi sudah menahan sang ibu di Polres Sangihe. Polisi, lanjut dia, terus memproses kasus ini.Baca Juga:  Sebelum Meninggal, Bocah Jessica Maafkan Sang Ibu yang MembakarnyaTak ada yang menyangka, Jessica harus meninggal dunia di tangan seseorang yang mengandungnya selama 9 bulan.Keluarga dan para tetangga hanya bisa menerima kenyataan pahit tersebut, tawa dan canda Jessica tak akan hadir ditengah-tengah mereka.Saat menahan perih dan luka, Jessica pun sempat menyebut nama ibunya dalam doanya. Jessica memohonkan ampun kepada Tuhan atas perbuatan ibunya terhadap dirinya dan telah memaafkan sang ibu.""Dia (Jessica) juga sudah mendoakan sang ibu agar diberi pengampunan oleh Tuhan,"" kata Nurlince Sahambangu, salah satu kerabat Jessica, Selasa (23/10/2018).Baca Juga:  Setelah Bertahan 41 Hari, Siswi SD yang Dibakar Ibunya Meninggal DuniaPada hari Rabu (12/9/20180, OS kebingungan mencari pisau dapur yang biasanya dipakainya untuk memasak.Kemarahannya tak terbendung saat Jessica dan saudaranya, Dave, tidak menjawab permintaan tolong OS untuk mencari pisau tersebut.Jessica segera menjadi sasaran kemarahan OS. Sang ibu memukul kedua tangan dan kakinya dengan pelepah kelapa dan menyiram tubuh Jessica serta Dave dengan minyak tanah.Setelah itu, OS mengambil pelepah pisang dan membakar pelepah kelapa yang telah diolesi dengan minyak tanah. OS segera mencari Jessica yang berlari dari kemarahan ibunya itu.Tanpa pikir panjang, OS menyulut tubuh Jessica dengan api di pelepah kelapa yang telah disulutnya dengan api.Setelah itu, Jessica pun berlari menjauh hingga terjatuh di dekat tempat sampah. Melihat hal itu, OS pun segera mengejar Jessica dan mencoba menolong korban dengan mengoleskan tomat dan sayur daun gedi ke tubuh Jessica.Lalu bersama tetangga, Jessica dilarikan ke rumah sakit.Baca Juga:  Polisi Akan Konfrontasi Ratna Sarumpaet dengan 3 Saksi Kasus HoaksJessica telah menjalani operasi sebanyak 4 kali pasca dibakar oleh ibunya.""Di rumah sakit Sangihe sudah 3 kali jalani operasi, dan di Manado sekali. Jadi sudah 4 kali,"" kata  Nurlince Sahambangu, tante dari Jessica  ketika ditemui Tribunmanado.co.id, Jumat (19/10/2018) di RSUP Kandou.Kondisi Jessica sempat membaik, namun dalam sepekan terakhir kondisinya terus menurun.Pada hari Selasa (23/10/2018), Jessica dikabarkan telah meninggal dunia.""Laporan yang saya terima memang meninggal pada pukul 14.08 Wita,"" ujar Direktur RSUP Kandou Malalayang Jimmy Panelewen.Baca Juga:  Generasi III Esemka Siap Meluncur, Komunikasi dengan Jokowi hingga Ribuan Pemesan AntreKasat Reskrim Polres Sangihe Iptu Denny Tampenawas mengatakan, polisi sudah menahan sang ibu di Polres Sangihe. Polisi, lanjut dia, terus memproses kasus ini.""Perkembangannya saat ini sudah tahap 1,"" kata Tampenawas.Tampenawas mengatakan, pihaknya akan mengkaji kembali pasal yang menjerat sang ibu setelah Jessica meninggal dunia.""Untuk pasalnya akan dikaji lagi bila ternyata korban meninggal,"" ujar Tampenawas.Baca Juga:  Di Balik Kisah Cinta Pemuda dengan Nenek 65 Tahun, Bersemi di Kebun Cengkeh hingga Naik PelaminanRatusan pelayat menghadiri ibadah pemakaman Jessica (10) di Dusun Kawiwi, pada hari Kamis (25/10/2018).Tak ketinggalan puluhan teman-teman Jessica di Sekolah Minggu juga hadir. Mereka pun dengan khususk berdoa dan menyanyikan lagi ""Di Doa Ibuku"".Lagu tersebut pun membuat ratusan pelayat tak kuasa membendung air mata. Suasana duka mendalam sangat terasa.Baca Juga:  Ini Motif Pelaku Memperkosa dan Membunuh Siswi SD di Kebun SawitSumber: KOMPAS.com (Caroline Damanik, Aprilia Ika)/ Tribunnews"
Pengadilan HAM: Menghina Nabi Muhammad Bukan Kebebasan Berekspresi;;"PARIS, KOMPAS.com  -   Pengadilan  hak asasi manusia Eropa menetapkan, seorang perempuan   Austria  yang menghina Nabi Muhammad tak bisa dianggap sebagai kebebasan berekspresi.Perempuan berusia 47 tahun yang disebut dengan inisial Nyonya S menyelenggarakan seminar pada 2009 dan membas pernikahan Nabi Muhamnad dengan Aisyah yang masih di bawah umur.Pengadilan Austria menjatuhkan hukuman terhadap S pada 2011 karena dianggap menghina doktrin agama dan dikenai denda 480 euro atau Rp 7 juta. Hukuman itu juga dikukuhkan oleh dua   pengadilan  tinggi.Baca juga:  Pengadilan HAM Eropa Perkuat Larangan Pakai JilbabNamun Nyonya S melanjutkan kasus itu ke Pengadilan   HAM  Eropa yang menyebutkan, perempuan itu menyadari bahwa apa yang dia lakukan dapat menimbulkan kemarahan.Keputusan Pengadilan HAM Eropa yang bermarkas di Strasbourg, Perancis, menyebutkan bahwa menghina Nabi Muhammad yang dilakukan S ""melampaui batas debat yang objektif"" dan ""dapat memicu prasangka dan mengancam perdamaian.""Keputusan itu dibacakan sebuah panel yang terdiri dari tujuh hakim Pengadilan HAM Eropa pada Kamis (25/10/2018).""Pengadilan dalam negeri telah mengkaji konteks yang lebih luas terkait pernyataan pemohon dan secara berhati-hati mengimbangi hak kebebasan berekspresi dengan hak serta perasaan pemeluk agama lain dilindungi, serta menjaga tujuan perdamaian agama di Austria.""Pemeluk Islam di Austria berjumlah sekitar 600.000 dari 8,8 juta jiwa penduduk negara itu.  Sekitar 50 persen umat Muslim Austria berasal dari Turki atau Bosnia.Baca juga:  Turki: Pengadilan HAM Eropa Tak Berhak Campuri Hasil ReferendumIslamofobia dilaporkan juga terjadi di Austria. Koalisi pemerintah yang berkuasa setelah krisis imigran gelap di Eropa, berjanji mencegah aliran imigran dan pengungsi.Pada April lalu, Kanselir Sebastian Kurz mengancam akan menutup salah satu masjid terbesar di kota Vienna dan mendesak pemerintah memperketat subsidi untuk organisasi Muslim di kota itu."
Seleksi Kompetensi Dasar CPNS Dimulai Hari Ini, Begini Situasinya;Mela Arnani;"KOMPAS.com  - Pelaksanaan tes seleksi kompetensi dasar (SKD) bagi peserta calon pegawai negeri sipil atau   CPNS 2018  yang dinyatakan lolos administrasi sudah mulai terlaksana hari ini, Jumat (26/10/2018).Kepala Humas Badan Kepegawaian Negara (  BKN ) Mohammad Ridwan mengatakan, tes SKD akan terlaksana hingga 17 November 2018.Berdasarkan informasi yang diterima  Kompas.com  dari BKN, setidaknya ada lima instansi yang mulai melaksanakan tes SKD.""Kementerian Hukum dan Hak Asasi Manusia (Kemenkumham), Badan Intelejen Negara (BIN), Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kemenpan RB), Sekretaris Negara (Setneg), Kementerian Koordinator Bidang Kemaritiman, dan lain-lain,"" kata Ridwan saat dihubungi  Kompas.com , Jumat (26/10/2018).Tes tersebut dilaksanakan di berbagai daerah seperti Yogyakarta, Semarang, Jakarta, Jawa Timur, Manado, dan Kalimantan.Meskipun beberapa instansi telah melaksanakan SKD, Ridwan menambahkan, masih banyak instansi yang belum dapat melaksanakan SKD besok atau lusa.Sebab, instansi tersebut belum mengumumkan hasil seleksi administrasi bagi para pelamarnya.""Instansi yang belum mengumumkan (sebanyak) 46 instansi,"" ujar Ridwan.Melalui halaman resmi BKN, menunjukkan bagaimana kondisi tes hari pertama ini, berikut ulasannya:Di bawah ini adalah foto-foto pelaksanaan SKD Kemenkumham.Terlihat panitia seleksi CPNS sedang melakukan pemeriksaan tubuh ( body scanning ) kepada para peserta SKD.Pelaksanaan SKD di Kantor Regional (Kanreg) BKN Manado juga dilaksanakan hari ini. Kemenkumham menjadi instansi pertama yang melaksanakan tes SKD untuk wilayah ini.Panitia seleksi CPNS menyediakan 100 PC bagi para peserta. Namun, pada sesi pertama dihadiri oleh 95 orang pelamar.Tes SKD juga mulai dilaksanakan di Kalimantan, di mana tes dilaksanakan pada dua lokasi, yakni Kanreg VIII BKN dan Aula Yorif 361/ATR Kalimantan Tengah.Sesi pertama tes di sini dimulai dengan formasi S-1/D-IV, dan D-II Kemenkumham.Di gedung Kanreg VIII BKN, panitia seleksi menyediakan sebanyak 200 PC. Berdasarkan informasi dari facebook BKN, dijadwalkan akan ada sebanyak 796 peserta untuk hari ini yang terbagi menjadi empat sesi tes.Sedangkan, di Aula Yorif 361/ATR disediakan sebanyak 170 PC, dan tes akan dilaksanakan sebanyak tiga sesi.Baca selengkapnya:  Ingat, Ini Dua Hal yang Wajib Dibawa Saat Tes SKD Seleksi CPNSDalam unggahan lain, tes SKD Kemensetneg juga dilaksanakan hari ini di Jakarta. Terlihat antrean para peserta mengular cukup panjang untuk melaksanakan proses registrasi terlebih dahulu sebelum melaksanakan tes.Sementara, untuk lokasi tes di daerah lain dapat dipantau  di sini.Berdasarkan informasi dari akun resmi Twitter BKN, tes SKD terbagi menjadi beberapa sesi.Sesi pelaksanaan tes hanya berbeda saat hari Jumat. Pada Jumat ini hanya akan dilaksanakan sebanyak lima sesi, sedangkan di hari lain tes akan dilaksanakan sebanyak enam sesi.Berikut jadwalnya:1. Hari Senin, Selasa, Rabu, Kamis, Sabtu, MingguSesi I dilaksanakan pukul 08.00-09.30 Sesi II dilaksanakan pukul 10.00-11.30 Sesi III dilaksanakan pukul 12.00-13.30 Sesi IV dilaksanakan pukul 14.00-15.30 Sesi V dilaksanakan pukul 16.00-17.30 Sesi VI dilaksanakan pukul 18.30-20.002. Hari JumatSesi I dilaksanakan pukul 08.00-09.30 Sesi II dilaksanakan pukul 10.00-11.30 Sesi III dilaksanakan pukul 14.00-15.30 Sesi IV dilaksanakan pukul 16.00-17.30 Sesi V dilaksanakan pukul 18.30-20.00Para peserta tes diimbau hadir satu jam sebelum ujian dimulai, untuk melakukan registrasi."
Tes Seleksi Kompetensi Dasar CPNS di Yogyakarta Diundur;Mela Arnani;"KOMPAS.com  - Pelaksanaan tes seleksi kompetensi dasar (SKD) di Graha Wana Bhakti, Yogyakarta, yang dijadwalkan dilaksanakan pada hari ini, Jumat (26/10/2018), diundur.Informasi ini didapatkan dari salah satu peserta yang mengikuti tes seleksi CPNS.Ambarwati, warga Surakarta, menceritakan bahwa pengunduran tes ini dilakukan dengan alasan adanya kendala teknis. Ia seharusnya mengikuti tes SKD sesi pertama.""Yang sesi pertama sudah pada hadir (pesertanya). Kan mulainya di jadwal pukul 08.30, tapi mundur pukul 10,00, terus dikasih tahu pengumuman diundur,"" kata Ambar saat dihubungi  Kompas.com , Jumat (26/10/2018).Menurut cerita Ambar, peserta belum melakukan proses registrasi.""Masih di ruang tunggu, setelah itu diumumkan bahwa diundur karena ada kesalahan teknis,"" ujarnya.Baca juga:  Seleksi Kompetensi Dasar CPNS Dimulai Hari Ini, Begini SituasinyaAmbar menyampaikan, pengunduran jadwal SKD bukan hanya hari ini saja. Namun, untuk peserta yang mendapatkan jadwal tes SKD besok, Sabtu (27/10/2018) juga diundur.""Jadi hari ini dan besok itu  emang  enggak bisa tes, diganti tanggal 3 kalau enggak tanggal 4,"" ujar dia.Ia menambahkan, perubahan jadwal tes SKD bagi peserta yang diundur ini dapat dilihat di situs resmi.Ambar menuturkan, kebanyakan peserta yang sudah hadir kecewa. Peserta, lanjutnya, langsung pada bubar.""Saya berangkat dari subuh supaya tidak telat. Solo ke Yogya kan lumayan jaraknya,"" kata dia.Kompas.com  sudah menghubungi Badan Kepegawaian Daerah setempat dan Badan Kepegawaian Negara, namun belum mendapatkan jawaban.Dalam komentar di halaman Facebook Kantor Regional I   BKN  Yogyakarta, ada salah satu warganet yang menyampaikan hal yang sama, yaitu tes SKD diundur.Seorang warganet tersebut mengunggah foto pengumuman pengunduran tes, seperti berikut:Facebook  Pengunduran tes SKD CPNS di YogyakartaSEHUBUNGAN ADANYA KENDALA TEKNIS, MAKA PELAKSANAAN SELEKSI KOMPETENSI DASAR HARI JUM'AT 26 OKTOBER 2018 (SESI 1, 2, 3) DAN HARI SABTU 27 OKTOBER 2018 (SESI 1,2,3,4,5) DIUNDUR DAN AKAN DIJADWAL ULANG. PENGUMUMAN JADWAL AKAN DIUMUMKAN MELALUI WEBSITE www.jogjaprov.go.id, www.bkd.jogjaprov.go.id dan/atau https://sscn.  bkn .go.idDEMIKIAN UNTUK MENJADIKAN MAKLUM DAN ATAS PERHATIANNYA DIUCAPKAN TERIMAKASIHPANITIA"
Teka-teki 2 Nama Cawagub DKI yang Disepakati Gerindra dan PKS;Jessi Carina;"JAKARTA, KOMPAS.com -  Partai Gerindra dan Partai Keadilan Sejahtera (PKS) diam-diam sudah bersepakat tentang dua nama calon wakil gubernur DKI Jakarta pengganti Sandiaga Uno. Hal ini diungkapkan anggota Majelis Syuro DPP PKS Triwisaksana saat ditemui di Gedung DPRD DKI Jakarta, Jalan Kebon Sirih, Kamis (25/10/2018).""Rasanya sudah disetujui bersama terkait dua namanya, tetapi belum bisa disampaikan. Yang jelas nama itu sudah mengerucut. Komposisinya dua orang ini insya Allah sudah disepakati Gerindra dan PKS,"" kata Triwisaksana.Ia mengatakan, nama dua orang tersebut tidak jauh dari yang beredar selama ini. Catatan  Kompas.com,  nama-nama yang beredar sejauh ini ada empat. Dari PKS, ada nama Agung Yulianto dan Ahmad Syaikhu. Sementara dari Gerindra, ada nama   Mohamad Taufik  dan Rahayu Saraswati Djojohadikusumo.Baca juga:  Kata Triwisaksana soal 2 Nama Cawagub DKI yang Disepakati PKS dan GerindraTriwisaksana tidak mau memberi penjelasan lebih lanjut tentang siapa dua calon itu. Masih menjadi teka-teki juga apakah dua orang itu masing satu dari PKS dan Gerindra, atau dua-duanya dari PKS atau Gerindra. Selama ini PKS dan Gerindra kerap berselisih soal itu.PKS beberapa bulan terakhir berkeras untuk mendapatkan jabatan wagub. Mereka mengacu pada perjanjian antara Ketua Umum Partai Gerindra Prabowo Subianto dan Presiden PKS Sohibul Iman bahwa posisi cawapres diberikan ke Gerindra, tetapi posisi wagub DKI untuk PKS.PKS sudah menyiapkan dua kader untuk diajukan ke Gubernur DKI. Keinginan PKS itu bertentangan dengan Gerindra DKI Jakarta yang juga ingin mencalonkan wagub. Ketua DPD Partai Gerindra DKI Mohamad Taufik telah digadang-gadang menjadi cawagub pengganti Sandiaga.Namun entah bagaimana, kesepakatan antara dua partai itu akhirnya tercipta juga. Sani mengatakan bagaimanapun komposisi dua nama cawagub itu telah disepakati oleh PKS dan Gerindra.""Yang penting sudah ada kemajuan saat ini. Gerindra dan PKS tidak mau hanya memikirkan ego pribadi dengan tarik menarik figur terus tapi juga memikirkan kepentingan DKI,"" ujar Sani.Ucapan PrabowoDua hari sebelumnya, Prabowo Subianto mengeluarkan pernyataan terkait penentuan wagub DKI. Dia mengatakan, urusan itu dia serahkan kepada Mohamad Taufik yang merupakan pimpinan Gerindra Jakarta.""Tenang aja,  you  tunggu waktunya pengumuman. Tanya Pak Taufik lah siapa. Ketua Gerinda Jakarta namanya Muhammad Taufik,"" ujar Prabowo.Baca juga:  Semakin Mengerucut, PKS dan Gerindra Sepakati 2 Nama Cawagub DKIBeberapa orang beranggapan bahwa Prabowo sudah menyetujui Taufik diajukan sebagai cawagub. Taufik sendiri menyebut pernyataan Prabowo adalah ""pertanda bagus"".Namun, Sani atau Triwisaksana memaknai pernyataan itu dengan berbeda. Menurut dia pernyataan Prabowo menunjukkan bahwa urusan wagub itu sudah diserahkan kepada pimpinan partai di tingkat Provinsi DKI Jakarta.Artinya, baik Prabowo maupun Sohibul Iman sudah memiliki kesepakatan juga. Kemudian kesepakatan itu diteruskan ke pengurus tingkat DKI Jakarta untuk dijalankan. PKS DKI dan Gerindra DKI diminta segera menyelesaikan teknis pengumuman calonnya.""Saya kira Pak Prabowo sudah tepat menyampaikan itu bahwa soal   cawagub DKI  adalah urusan masing-masing DPD baik Gerindra atau PKS,"" ujar Sani.""Jadi tinggal menunggu kesepakatan bersama dari Pak Taufik dan Pak Syakir (Ketua DPW PKS DKI) untuk segera mengumumkan dan mengajukan nama cawagub DKI,"" tambah dia.Di sisi lain saat dihubungi, Mohamad Taufik terdengar tidak seyakin biasanya ketika ditanya tentang pencalonan dirinya. Dia hanya menjawab bahwa urusan wagub akan dibahas pekan depan.""Kita minggu depan akan mengundang resmi, bersurat ke PKS untuk membahas itu,"" kata Taufik.Jika klaim bahwa dua nama kandidat itu benar, itu berarti proses penentuan cawagub mulai ada kemajuan. Kini tinggal menunggu PKS dan Gerindra mengumumkan siapa dua calon yang akan diusung itu."
