SQLDATE,EventCode,AvgTone,GoldsteinScale,NumMentions,NumSources,NumArticles,SOURCEURL
20171102,090,1.36363636363636,-2.0,8,1,8,http://lampung.tribunnews.com/2017/11/02/ingin-jadi-penghasil-udang-nomor-satu-di-dunia-jokowi-minta-tambak-di-lampung-beroperasi-maksimal
20171102,043,0.980392156862745,2.8,10,1,10,http://www.antaranews.com/berita/662317/kemarin-presiden-jokowi-ke-bekasi-hingga-rasanya-tinggal-di-rumah-betang
20171102,010,0.956937799043062,0.0,4,1,4,http://wartakota.tribunnews.com/2017/11/02/jokowi-saya-sebagai-presiden-tidak-pernah-keluarkan-izin-reklamasi-sebagai-gubernur-juga-tidak
20171102,061,2.2508038585209,6.4,10,1,10,https://www.merdeka.com/uang/dubes-as-kritik-kebijakan-pemerintah-jokowi-batasi-impor-makanan.html
20171102,043,5.28169014084507,2.8,10,1,10,http://internasional.metrotvnews.com/asia/MkMMy8pk-tiga-mou-akan-disepakati-presiden-jokowi-dan-presiden-korsel
20171102,044,-0.478468899521531,2.5,4,1,4,http://internasional.republika.co.id/berita/internasional/global/17/11/02/oys6kt377-presiden-jokowi-akan-hadiri-ktt-apec
20171102,036,1.01522842639594,4.0,4,1,4,http://nasional.republika.co.id/berita/nasional/umum/17/11/02/oyrqq2354-jokowi-akan-bagikan-sk-pemanfaatan-hutan-di-probolinggo
20171102,042,0.980392156862745,1.9,2,1,2,http://www.antaranews.com/berita/662317/kemarin-presiden-jokowi-ke-bekasi-hingga-rasanya-tinggal-di-rumah-betang
20171102,051,0.83333333333334,3.4,8,1,8,http://news.liputan6.com/read/3148573/naik-helikopter-ke-probolinggo-jokowi-hadiri-acara-perhutani
20171102,125,0.23923444976077,-5.0,10,1,10,http://nasional.kompas.com/read/2017/11/02/10321141/petani-tambak-kita-terima-kasih-sekali-pak-jokowi
20171102,120,0.0,-4.0,6,1,6,https://nasional.sindonews.com/read/1253850/12/amien-rais-sarankan-pan-keluar-dari-koalisi-jokowi-jk-1509607108
