nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Januari;169652;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Januari;1005200;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Januari;329764;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Januari;136457;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Januari;109646;Hasanudin
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Februari;138623;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Februari;723717;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Februari;257149;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Februari;107825;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Februari;93528;Hasanudin
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Maret;125954;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Maret;863592;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Maret;280060;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Maret;119168;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Maret;105850;Hasanudin
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;April;156892;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;April;867901;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;April;291600;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;April;142807;"Ngurah Rai"
