nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2004;Tahun;201107;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2004;Tahun;23763950;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2004;Tahun;30377683;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2004;Tahun;23623779;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2004;Tahun;208902;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2004;Tahun;4903630;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2004;Tahun;2134377;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2005;Tahun;245350;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2005;Tahun;28921515;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2005;Tahun;37061187;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2005;Tahun;28820808;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2005;Tahun;254860;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2005;Tahun;6182720;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2005;Tahun;2780079;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2006;Tahun;255008;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2006;Tahun;34015981;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2006;Tahun;46541982;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2006;Tahun;36469337;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2006;Tahun;268495;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2006;Tahun;12140240;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2006;Tahun;6762775;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2007;Tahun;289721;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2007;Tahun;39162332;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2007;Tahun;56764652;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2007;Tahun;41761133;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2007;Tahun;288391;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2007;Tahun;12792265;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2007;Tahun;6801218;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2008;Tahun;268512;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2008;Tahun;37405437;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2008;Tahun;55590897;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2008;Tahun;44867710;"Penumpang -Km Terpakai (000)"
