nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2004;Tahun;53597;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2004;Tahun;2757344;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2004;Tahun;12064739;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2004;Tahun;7327167;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2004;Tahun;50429;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2004;Tahun;2064379;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2004;Tahun;597335;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2005;Tahun;59054;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2005;Tahun;3022415;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2005;Tahun;14654694;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2005;Tahun;9586396;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2005;Tahun;53997;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2005;Tahun;1883382;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2005;Tahun;1176972;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2006;Tahun;47523;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2006;Tahun;2963776;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2006;Tahun;11501349;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2006;Tahun;7859611;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2006;Tahun;77864;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2006;Tahun;1551788;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2006;Tahun;463209;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2007;Tahun;50356;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2007;Tahun;3188893;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2007;Tahun;11313905;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2007;Tahun;8531826;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2007;Tahun;42322;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2007;Tahun;1560611;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2007;Tahun;971288;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2008;Tahun;67046;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2008;Tahun;4102210;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2008;Tahun;14546351;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2008;Tahun;10714927;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2008;Tahun;42460;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2008;Tahun;2044701;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2008;Tahun;1201096;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2009;Tahun;80638;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2009;Tahun;5004056;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2009;Tahun;17831399;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2009;Tahun;12749933;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2009;Tahun;46485;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2009;Tahun;11707748;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2009;Tahun;4071524;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2010;Tahun;101682;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2010;Tahun;6614937;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2010;Tahun;22686349;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2010;Tahun;16369348;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2010;Tahun;79549;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2010;Tahun;21268684;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2010;Tahun;6370881;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2011;Tahun;126876;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2011;Tahun;8152133;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2011;Tahun;31186691;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2011;Tahun;22897654;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2011;Tahun;72163;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2011;Tahun;10788625;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2011;Tahun;4776524;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2012;Tahun;138721;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2012;Tahun;9938291;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2012;Tahun;31423555;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2012;Tahun;23264346;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2012;Tahun;90692;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2012;Tahun;34539295;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2012;Tahun;12028236;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2013;Tahun;160242;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2013;Tahun;10964559;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2013;Tahun;35248383;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2013;Tahun;24442603;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2013;Tahun;110512;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2013;Tahun;4645881;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2013;Tahun;2692298;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2014;Tahun;158434;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2014;Tahun;10252461;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2014;Tahun;38631596;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2014;Tahun;23859457;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2014;Tahun;117902;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2014;Tahun;5169445;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2014;Tahun;2680833;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2015;Tahun;144604;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2015;Tahun;9533906;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2015;Tahun;32574159;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2015;Tahun;23293154;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2015;Tahun;87067;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2015;Tahun;4713749;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2015;Tahun;2568591;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2016;Tahun;161986;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2016;Tahun;10377246;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2016;Tahun;38356185;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2016;Tahun;27923634;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2016;Tahun;111595;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2016;Tahun;5284560;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Luar Negeri)";"Tidak Ada";2016;Tahun;3124130;"Ton-Km Terpakai (000)"
